"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Brandon Aubrey",DAL,"14","1","1","1.0","0.0","0"
"2",1,"Ka'imi Fairbairn",HOU,"8","2","5","2.7","0.9","+2"
"3",1,"Cameron Dicker",LAC,"7","2","5","3.0","0.7","0"
"4",1,"Cam Little",JAC,"7","3","6","4.0","0.9","+1"
"5",2,"Jason Myers",SEA,"11","3","7","5.2","0.9","-3"
"6",2,"Eddy Pineiro",SF,"8","6","14","8.3","2.5","+4"
"7",2,"Chase McLaughlin",TB,"10","5","15","9.8","2.7","+12"
"8",3,"Jake Bates",DET,"6","7","14","10.4","2.2","0"
"9",3,"Tyler Loop",BAL,"13","6","17","10.6","3.4","0"
"10",3,"Evan McPherson",CIN,"6","7","17","10.6","3.1","+1"
"11",3,"Will Reichard",MIN,"6","4","19","11.7","4.6","+1"
"12",3,"Cairo Santos",CHI,"10","8","16","11.7","2.6","+1"
"13",3,"Harrison Mevis",LAR,"11","6","18","11.9","3.1","-7"
"14",3,"Andy Borregales",NE,"11","7","24","13.0","4.0","+3"
"15",3,"Chris Boswell",PIT,"9","5","19","13.3","3.3","0"
"16",3,"Harrison Butker",KC,"5","9","18","14.1","2.6","-9"
"17",3,"Wil Lutz",DEN,"10","11","21","16.4","2.6","-3"
"18",4,"Jake Elliott",PHI,"10","14","25","20.3","2.7","-2"
"19",4,"Tyler Bass",BUF,"7","17","25","20.1","2.3","-1"
"20",4,"Trey Smack",GB,"11","15","28","21.2","4.0","0"
"21",4,"Joey Slye",TEN,"9","19","29","23.1","2.8","+9"
"22",4,"Chad Ryland",ARI,"14","20","31","24.3","3.1","+9"
"23",4,"Daniel Carlson",NO,"8","15","28","22.2","3.4","+16"
"24",4,"Nick Folk",ATL,"11","20","26","23.8","1.9","-2"
"25",4,"Blake Grupe",NYJ,"13","20","32","24.2","3.6","+1"
"26",4,"Ryan Fitzgerald",CAR,"5","23","31","26.1","2.1","+7"
"27",5,"Charlie Smyth",NO,"8","16","37","22.8","5.9","0"
"28",5,"Spencer Shrader",IND,"13","14","29","22.2","4.9","-7"
"29",5,"Drew Stevens",WAS,"7","20","31","26.5","3.3","+3"
"30",5,"Andre Szmyt",CLE,"11","27","32","30.6","1.6","+5"
"31",5,"Matt Gay",LV,"13","25","32","29.1","1.8","-7"
"32",5,"Zane Gonzalez",FA,"0","20","36","27.7","5.4","+11"
"33",5,"Riley Patterson",MIA,"6","28","33","30.2","1.4","-8"
"34",5,"Ben Sauls",FA,"0","26","36","30.3","3.2","-6"
"35",5,"Jason Sanders",NYJ,"13","23","37","30.4","3.7","-6"
"36",5,"Dominic Zvada",NYG,"8","23","34","28.6","3.8","-13"
"37",5,"Brandon McManus",FA,"0","18","35","27.7","6.6","+3"
"38",5,"Jake Moody",BAL,"13","25","35","29.7","4.1","-1"
"39",5,"Cade York",FA,"0","30","32","31.0","1.0","+6"
