"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"7","1","1","1.0","0.0","0"
"2",1,"Lamar Jackson",BAL,"13","2","5","2.7","0.9","0"
"3",1,"Drake Maye",NE,"11","2","6","3.0","0.9","0"
"4",1,"Joe Burrow",CIN,"6","2","9","4.7","1.5","0"
"5",2,"Jayden Daniels",WAS,"7","3","11","5.7","2.0","0"
"6",2,"Jalen Hurts",PHI,"10","3","10","6.4","1.8","0"
"7",2,"Caleb Williams",CHI,"10","4","13","7.2","2.1","0"
"8",2,"Justin Herbert",LAC,"7","5","13","8.3","1.8","+1"
"9",2,"Trevor Lawrence",JAC,"7","5","15","8.8","2.1","+1"
"10",2,"Dak Prescott",DAL,"14","5","14","9.4","2.0","-2"
"11",3,"Brock Purdy",SF,"8","9","16","12.0","1.6","+3"
"12",3,"Jaxson Dart",NYG,"8","7","17","12.9","2.5","-1"
"13",3,"Bo Nix",DEN,"10","10","16","12.9","1.6","+2"
"14",3,"Patrick Mahomes II",KC,"5","10","18","14.4","2.2","-1"
"15",3,"Jared Goff",DET,"6","10","18","14.8","2.2","+1"
"16",3,"Matthew Stafford",LAR,"11","9","21","15.4","2.7","-4"
"17",3,"Kyler Murray",MIN,"6","11","22","17.0","2.6","0"
"18",3,"Jordan Love",GB,"11","13","21","18.0","2.1","0"
"19",3,"Tyler Shough",NO,"8","12","24","18.8","2.7","+1"
"20",3,"Baker Mayfield",TB,"10","16","21","19.3","1.3","-1"
"21",4,"Malik Willis",MIA,"6","16","27","20.4","2.5","0"
"22",4,"Sam Darnold",SEA,"11","19","26","22.6","1.5","+1"
"23",4,"C.J. Stroud",HOU,"8","21","26","23.1","1.2","-1"
"24",4,"Daniel Jones",IND,"13","20","29","23.9","2.1","0"
"25",4,"Cam Ward",TEN,"9","22","27","24.9","1.3","+1"
"26",4,"Bryce Young",CAR,"5","23","28","25.8","1.1","-1"
"27",4,"Jacoby Brissett",ARI,"14","21","30","27.3","1.8","+2"
"28",4,"Geno Smith",NYJ,"13","26","35","29.0","1.6","+7"
"29",4,"Aaron Rodgers",PIT,"9","22","32","28.1","2.2","-1"
"30",4,"Fernando Mendoza",LV,"13","26","35","30.5","2.3","-3"
"31",4,"Tua Tagovailoa",ATL,"11","29","36","31.8","1.5","0"
"32",4,"Michael Penix Jr.",ATL,"11","28","36","32.4","2.0","0"
"33",4,"Shedeur Sanders",CLE,"11","29","38","33.3","1.7","-3"
"34",5,"Kirk Cousins",LV,"13","27","37","33.1","2.3","-1"
"35",5,"Deshaun Watson",CLE,"11","29","36","33.4","1.9","+1"
"36",5,"Mac Jones",SF,"8","31","47","37.6","3.0","+35"
"37",5,"J.J. McCarthy",MIN,"6","26","68","39.6","8.8","-3"
"38",5,"Carson Beck",ARI,"14","34","58","39.6","6.3","-1"
"39",6,"Justin Fields",KC,"5","34","46","39.2","3.2","+8"
"40",6,"Anthony Richardson Sr.",IND,"13","33","46","40.2","3.7","+36"
"41",6,"Ty Simpson",LAR,"11","38","57","42.3","4.8","-3"
"42",6,"Jameis Winston",NYG,"8","38","45","41.1","2.0","-2"
"43",6,"Joe Flacco",CIN,"6","37","45","39.9","2.6","+5"
"44",6,"Marcus Mariota",WAS,"7","39","47","42.3","2.7","+30"
"45",6,"Cade Klubnik",NYJ,"13","39","56","44.1","5.4","+23"
"46",6,"Joe Milton III",DAL,"14","34","67","44.6","11.6","+16"
"47",6,"Tyrod Taylor",GB,"11","42","44","43.3","0.8","+17"
"48",6,"Davis Mills",HOU,"8","43","56","48.6","4.5","+22"
"49",6,"Quinn Ewers",JAC,"7","46","61","50.2","5.5","+23"
"50",6,"Trey Lance",LAC,"7","40","44","42.3","1.7","+13"
"51",6,"Gardner Minshew II",ARI,"14","42","68","50.5","10.4","+8"
"52",6,"Taylen Green",CLE,"11","40","51","45.3","4.5","-"
"53",6,"Tyson Bagent",CHI,"10","42","64","52.3","8.0","+5"
"54",6,"Tyler Huntley",BAL,"13","50","57","53.0","3.1","-8"
"55",6,"Jarrett Stidham",DEN,"10","48","58","53.3","3.6","+1"
"56",7,"Sam Howell",DAL,"14","46","62","51.3","7.5","-6"
"57",7,"Dillon Gabriel",CLE,"11","38","48","43.0","5.0","+8"
"58",7,"Riley Leonard",IND,"13","41","45","43.0","2.0","+17"
"59",7,"Spencer Rattler",NO,"8","47","58","52.0","4.5","-"
"60",7,"Carson Wentz",MIN,"6","45","73","55.7","12.4","+13"
"61",7,"Drew Lock",SEA,"11","46","65","54.7","7.8","-6"
"62",7,"Andy Dalton",PHI,"10","51","59","55.7","3.4","+5"
"63",7,"Jalon Daniels",TB,"10","48","64","57.3","6.8","-20"
"64",7,"Kyle Allen",BUF,"7","50","55","52.5","2.5","-19"
"65",7,"Jalen Milroe",SEA,"11","47","59","53.0","6.0","-"
"66",7,"Mitchell Trubisky",TEN,"9","52","70","59.0","7.9","-17"
"67",7,"Tommy DeVito",NE,"11","53","63","59.0","4.3","-25"
"68",7,"Kyle McCord",MIA,"6","52","59","55.5","3.5","-"
"69",7,"Kenny Pickett",CAR,"5","56","63","60.3","3.1","-18"
"70",7,"Mason Rudolph",PIT,"9","51","65","58.0","7.0","-4"
"71",7,"Joshua Dobbs",DET,"6","52","66","59.0","7.0","-18"
"72",7,"Will Howard",PIT,"9","66","67","66.5","0.5","-20"
