"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Jahmyr Gibbs",DET,"RB1","1","3","1.4","0.6","0"
"2",1,"Bijan Robinson",ATL,"RB2","1","3","2.3","0.5","0"
"3",1,"Ja'Marr Chase",CIN,"WR1","1","6","2.5","1.1","0"
"4",1,"Puka Nacua",LAR,"WR2","3","6","4.1","0.5","0"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","4","8","6.0","1.0","+2"
"6",1,"Amon-Ra St. Brown",DET,"WR4","4","9","6.6","1.2","+2"
"7",1,"Jonathan Taylor",IND,"RB3","5","15","8.8","2.6","-2"
"8",2,"Christian McCaffrey",SF,"RB4","4","20","7.5","3.6","-2"
"9",2,"CeeDee Lamb",DAL,"WR5","7","16","9.9","2.2","+4"
"10",2,"James Cook III",BUF,"RB5","7","13","10.2","1.8","-1"
"11",2,"Justin Jefferson",MIN,"WR6","8","18","10.7","2.7","0"
"12",2,"Saquon Barkley",PHI,"RB6","10","29","15.9","4.3","-4"
"13",2,"A.J. Brown",NE,"WR7","9","28","16.2","4.3","+4"
"14",2,"Chase Brown",CIN,"RB7","11","23","15.2","4.2","+2"
"15",2,"Drake London",ATL,"WR8","10","22","15.8","4.0","+7"
"16",2,"De'Von Achane",MIA,"RB8","10","30","16.9","4.4","-4"
"17",2,"Brock Bowers",LV,"TE1","11","22","17.7","2.8","+5"
"18",2,"Nico Collins",HOU,"WR9","14","25","18.1","2.9","+5"
"19",3,"Kenneth Walker III",KC,"RB9","9","37","18.7","5.5","-3"
"20",3,"Omarion Hampton",LAC,"RB10","9","33","20.6","6.1","-5"
"21",3,"Derrick Henry",BAL,"RB11","14","30","20.9","3.7","-4"
"22",3,"Chris Olave",NO,"WR10","13","30","22.7","4.2","+2"
"23",3,"Ashton Jeanty",LV,"RB12","15","35","22.4","6.4","-5"
"24",3,"Trey McBride",ARI,"TE2","15","33","22.5","4.6","+1"
"25",3,"George Pickens",DAL,"WR11","11","29","21.7","3.9","+2"
"26",3,"Malik Nabers",NYG,"WR12","19","41","27.4","5.5","+4"
"27",3,"Josh Allen",BUF,"QB1","25","44","28.3","5.4","-6"
"28",3,"DeVonta Smith",PHI,"WR13","19","47","29.8","5.0","+3"
"29",4,"Zay Flowers",BAL,"WR14","25","44","32.5","4.7","+5"
"30",4,"Rashee Rice",KC,"WR15","21","51","32.8","6.4","+3"
"31",4,"Kyren Williams",LAR,"RB13","25","50","34.0","5.7","-5"
"32",4,"Javonte Williams",DAL,"RB14","23","45","35.1","5.1","-3"
"33",4,"Tee Higgins",CIN,"WR16","26","46","35.6","4.5","+7"
"34",4,"Breece Hall",NYJ,"RB15","24","44","36.5","4.9","-2"
"35",4,"Garrett Wilson",NYJ,"WR17","30","47","38.1","4.7","+7"
"36",4,"Lamar Jackson",BAL,"QB2","27","62","36.9","11.1","+1"
"37",4,"Jaylen Waddle",DEN,"WR18","27","46","36.8","4.9","+8"
"38",4,"Tetairoa McMillan",CAR,"WR19","27","49","39.0","5.5","0"
"39",4,"Ladd McConkey",LAC,"WR20","26","47","38.9","4.6","0"
"40",4,"Colston Loveland",CHI,"TE3","24","66","39.1","8.6","+1"
"41",4,"Jeremiyah Love",ARI,"RB16","24","60","39.4","8.5","-13"
"42",4,"Drake Maye",NE,"QB3","27","65","41.1","14.3","+9"
"43",4,"Emeka Egbuka",TB,"WR21","30","59","42.9","5.1","+2"
"44",4,"Travis Etienne Jr.",NO,"RB17","33","52","44.3","5.2","-9"
"45",4,"Luther Burden III",CHI,"WR22","33","74","48.2","8.4","+7"
"46",4,"Davante Adams",LAR,"WR23","38","64","49.8","6.9","+9"
"47",4,"D'Andre Swift",CHI,"RB18","36","64","48.7","5.6","-5"
"48",4,"Jameson Williams",DET,"WR24","35","61","47.2","6.2","+13"
