"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Jahmyr Gibbs",DET,"6","1","2","1.1","0.2","0"
"2",1,"Bijan Robinson",ATL,"11","1","2","1.9","0.2","0"
"3",1,"Jonathan Taylor",IND,"13","3","6","4.0","0.8","+1"
"4",1,"Christian McCaffrey",SF,"8","3","9","4.1","1.6","-1"
"5",2,"James Cook III",BUF,"7","3","8","4.7","1.0","0"
"6",2,"Saquon Barkley",PHI,"10","6","11","7.5","1.4","0"
"7",2,"Chase Brown",CIN,"6","5","12","7.6","1.9","+1"
"8",2,"De'Von Achane",MIA,"6","4","14","8.8","2.1","-1"
"9",3,"Kenneth Walker III",KC,"5","6","19","9.3","2.6","0"
"10",3,"Omarion Hampton",LAC,"7","3","13","9.8","2.4","0"
"11",3,"Derrick Henry",BAL,"13","6","13","9.8","1.7","0"
"12",3,"Ashton Jeanty",LV,"13","7","19","11.2","2.3","0"
"13",3,"Kyren Williams",LAR,"11","9","18","13.8","2.0","0"
"14",3,"Javonte Williams",DAL,"14","10","20","14.1","1.9","+1"
"15",3,"Breece Hall",NYJ,"13","12","18","15.0","1.3","+1"
"16",4,"Jeremiyah Love",ARI,"14","13","24","16.4","2.9","-2"
"17",4,"Travis Etienne Jr.",NO,"8","14","20","17.3","1.4","0"
"18",4,"D'Andre Swift",CHI,"10","15","24","18.3","1.9","+1"
"19",4,"Bucky Irving",TB,"10","15","26","20.2","2.5","+1"
"20",4,"Cam Skattebo",NYG,"8","15","28","20.5","2.5","-2"
"21",4,"David Montgomery",HOU,"8","18","27","21.1","2.4","+1"
"22",4,"Quinshon Judkins",CLE,"11","15","27","21.7","2.3","-1"
"23",4,"Jadarian Price",SEA,"11","17","30","23.7","3.0","0"
"24",4,"Bhayshul Tuten",JAC,"7","20","34","24.3","2.9","0"
"25",4,"TreVeyon Henderson",NE,"11","18","30","24.5","2.7","0"
"26",5,"Rhamondre Stevenson",NE,"11","23","33","27.0","2.4","+1"
"27",5,"Jaylen Warren",PIT,"9","25","33","27.3","2.0","+1"
"28",5,"Rico Dowdle",PIT,"9","25","35","29.8","2.8","+1"
"29",5,"Tony Pollard",TEN,"9","26","34","30.0","1.9","+1"
"30",5,"Jonathon Brooks",CAR,"5","25","49","31.0","4.6","+2"
"31",5,"MarShawn Lloyd",GB,"11","23","57","31.5","6.8","+2"
"32",5,"J.K. Dobbins",DEN,"10","27","39","33.2","2.7","+3"
"33",5,"Blake Corum",LAR,"11","28","42","33.5","3.2","+3"
"34",5,"Chuba Hubbard",CAR,"5","28","43","33.8","3.2","0"
"35",5,"RJ Harvey",DEN,"10","29","44","35.3","3.9","-4"
"36",5,"Jordan Mason",MIN,"6","28","44","35.8","3.9","+1"
"37",5,"Jacory Croskey-Merritt",WAS,"7","28","41","36.2","3.0","+1"
"38",6,"Kenny Gainwell",TB,"10","30","44","38.4","3.0","+2"
"39",6,"Kyle Monangai",CHI,"10","34","49","38.9","2.9","0"
