"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Brock Bowers",LV,"13","1","2","1.1","0.3","0"
"2",1,"Trey McBride",ARI,"14","1","4","2.0","0.6","0"
"3",1,"Colston Loveland",CHI,"10","2","6","3.1","0.8","0"
"4",1,"Tyler Warren",IND,"13","3","6","4.1","0.7","0"
"5",2,"Tucker Kraft",GB,"11","5","9","6.3","1.3","0"
"6",2,"Harold Fannin Jr.",CLE,"11","4","13","7.0","2.1","+1"
"7",2,"Kyle Pitts Sr.",ATL,"11","5","11","7.1","1.4","+1"
"8",2,"Sam LaPorta",DET,"6","5","12","7.5","1.9","-2"
"9",2,"George Kittle",SF,"8","4","13","9.0","2.0","0"
"10",3,"Travis Kelce",KC,"5","5","14","10.0","2.3","0"
"11",3,"Dalton Kincaid",BUF,"7","6","15","11.3","2.0","+1"
"12",3,"Isaiah Likely",NYG,"8","9","24","12.7","3.0","-1"
"13",3,"Dallas Goedert",PHI,"10","9","16","12.7","2.0","0"
"14",3,"Juwan Johnson",NO,"8","10","20","14.7","2.8","+2"
"15",3,"Jake Ferguson",DAL,"14","11","22","14.7","2.1","-1"
"16",3,"Mark Andrews",BAL,"13","11","19","14.8","2.1","-1"
"17",4,"Brenton Strange",JAC,"7","14","24","18.5","2.0","+3"
"18",4,"Hunter Henry",NE,"11","15","23","18.9","1.9","-1"
"19",4,"Chig Okonkwo",WAS,"7","16","25","19.4","2.1","-1"
"20",4,"Dalton Schultz",HOU,"8","15","24","19.5","2.4","+1"
"21",4,"Terrance Ferguson",LAR,"11","13","34","22.4","5.1","+1"
"22",4,"AJ Barner",SEA,"11","18","28","22.9","2.4","+5"
"23",4,"T.J. Hockenson",MIN,"6","17","31","23.2","2.9","-4"
"24",4,"Kenyon Sadiq",NYJ,"13","20","31","25.1","3.1","+2"
"25",4,"Gunnar Helm",TEN,"9","21","33","26.7","3.0","+5"
"26",4,"Pat Freiermuth",PIT,"9","22","37","27.6","3.7","-2"
"27",4,"Cade Otton",TB,"10","22","38","28.4","4.0","+2"
"28",5,"Oronde Gadsden II",LAC,"7","18","33","26.4","3.8","-3"
"29",5,"Evan Engram",DEN,"10","25","39","32.5","3.5","+4"
"30",5,"David Njoku",LAC,"7","23","47","31.6","4.6","-7"
"31",5,"Colby Parkinson",LAR,"11","27","41","32.4","3.1","+1"
"32",5,"Mason Taylor",NYJ,"13","31","49","36.4","4.1","-"
"33",5,"Theo Johnson",NYG,"8","25","51","37.5","5.2","+6"
"34",5,"Eli Stowers",PHI,"10","29","55","39.7","6.8","+1"
"35",5,"Greg Dulcich",MIA,"6","17","37","24.9","4.1","-7"
"36",6,"Mike Gesicki",CIN,"6","27","39","34.4","3.3","-"
"37",6,"Oscar Delp",NO,"8","32","59","43.7","7.4","-"
"38",6,"Jake Tonges",SF,"8","30","46","39.0","4.4","-4"
"39",6,"Darren Waller",CAR,"5","22","42","31.8","5.1","-3"
"40",6,"Michael Mayer",LV,"13","31","46","38.7","4.1","-3"
"41",6,"Darnell Washington",PIT,"9","26","47","37.0","6.5","-"
"42",6,"Charlie Kolar",LAC,"7","25","53","35.3","6.1","-"
"43",6,"Tyler Higbee",LAR,"11","38","60","45.4","4.9","-"
"44",6,"Elijah Arroyo",SEA,"11","31","55","41.4","5.2","-"
"45",6,"Erick All Jr.",CIN,"6","32","64","44.3","8.1","-"
"46",6,"Eli Raridon",NE,"11","31","59","44.6","7.2","-"
"47",6,"Cole Kmet",CHI,"10","35","51","42.8","3.6","-"
"48",6,"Dawson Knox",BUF,"7","36","51","43.9","4.7","-"
"49",7,"Noah Gray",KC,"5","40","61","47.3","5.3","-"
"50",7,"Max Klare",LAR,"11","44","81","53.4","10.8","-"
"51",7,"Noah Fant",NO,"8","41","69","53.3","7.1","-"
"52",7,"Ja'Tavion Sanders",CAR,"5","48","84","54.6","9.4","-"
"53",7,"Ben Sinnott",WAS,"7","44","70","56.2","9.0","-"
"54",7,"Tommy Tremble",CAR,"5","44","69","55.3","7.3","-"
"55",7,"Mitchell Evans",CAR,"5","41","73","58.7","8.9","-"
"56",7,"Luke Musgrave",GB,"11","54","97","66.6","13.4","-"
"57",7,"Daniel Bellinger",TEN,"9","53","63","57.7","3.7","-"
"58",7,"Elijah Higgins",ARI,"14","50","66","58.3","5.0","-"
"59",7,"Jackson Hawes",BUF,"7","56","70","63.9","3.6","-"
"60",7,"John Bates",WAS,"7","60","91","69.9","10.3","-"
"61",7,"Austin Hooper",ATL,"11","48","80","63.0","10.9","-"
"62",8,"Josh Oliver",MIN,"6","48","66","57.4","6.9","-"
"63",8,"Tanner Koziol",JAC,"7","55","71","62.6","4.8","-"
"64",8,"Will Kacmarek",MIA,"6","55","68","64.3","4.5","-"
"65",8,"Nate Boerkircher",JAC,"7","54","82","68.6","8.7","-"
"66",8,"Luke Schoonmaker",DAL,"14","65","85","70.4","6.3","-"
"67",8,"Jonnu Smith",GB,"11","38","81","57.5","13.7","-"
"68",8,"Marlin Klein",HOU,"8","49","72","59.5","6.7","-"
"69",8,"Matt Hibner",BAL,"13","53","71","61.3","5.6","-"
"70",8,"Sam Roush",CHI,"10","58","108","77.6","14.8","-"
"71",8,"Foster Moreau",HOU,"8","68","112","79.6","13.6","-"
"72",8,"Adam Trautman",DEN,"10","54","82","67.7","8.4","-"
"73",8,"Brock Wright",DET,"6","62","74","68.0","4.4","-"
"74",8,"Justin Joly",MIA,"6","50","102","70.2","19.3","-"
"75",8,"Jelani Woods",NYJ,"13","53","140","92.8","30.9","-"
"76",8,"Jeremy Ruckert",NYJ,"13","69","107","86.1","10.9","-"
"77",8,"Durham Smythe",BAL,"13","68","120","87.7","16.4","-"
"78",8,"Jack Endries",CIN,"6","68","104","77.0","12.2","-"
"79",8,"Mo Alie-Cox",IND,"13","69","88","78.3","6.7","-"
