"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"6","1","3","1.2","0.5","0"
"2",1,"Puka Nacua",LAR,"11","1","4","2.0","0.6","0"
"3",1,"Jaxon Smith-Njigba",SEA,"11","2","5","3.3","0.7","0"
"4",1,"Amon-Ra St. Brown",DET,"6","2","4","3.5","0.6","0"
"5",2,"CeeDee Lamb",DAL,"14","5","7","5.5","0.6","0"
"6",2,"Justin Jefferson",MIN,"6","5","9","6.0","1.0","0"
"7",2,"A.J. Brown",NE,"11","5","11","7.7","1.6","0"
"8",2,"Drake London",ATL,"11","7","11","8.6","1.4","0"
"9",2,"Nico Collins",HOU,"8","7","12","8.7","1.0","0"
"10",2,"Chris Olave",NO,"8","7","14","10.5","1.8","+1"
"11",2,"George Pickens",DAL,"14","7","17","10.9","2.3","-1"
"12",3,"Malik Nabers",NYG,"8","8","23","13.1","3.3","0"
"13",3,"DeVonta Smith",PHI,"10","11","20","13.6","2.3","0"
"14",3,"Zay Flowers",BAL,"13","11","18","14.3","1.9","+1"
"15",3,"Rashee Rice",KC,"5","11","25","15.5","3.7","-1"
"16",3,"Tee Higgins",CIN,"6","12","20","16.7","2.0","+1"
"17",3,"Garrett Wilson",NYJ,"13","14","21","17.1","2.0","+3"
"18",3,"Jaylen Waddle",DEN,"10","11","23","17.8","3.4","+1"
"19",3,"Tetairoa McMillan",CAR,"5","13","24","19.0","2.6","-1"
"20",3,"Ladd McConkey",LAC,"7","15","25","19.1","2.2","-4"
"21",4,"Emeka Egbuka",TB,"10","15","25","20.6","2.3","+1"
"22",4,"Luther Burden III",CHI,"10","17","30","23.3","2.8","+1"
"23",4,"Davante Adams",LAR,"11","17","30","23.9","3.1","+2"
"24",4,"Jameson Williams",DET,"6","16","35","23.9","3.6","+2"
"25",4,"Terry McLaurin",WAS,"7","17","28","24.2","2.6","-1"
"26",4,"Christian Watson",GB,"11","19","31","25.9","3.1","+3"
"27",4,"DJ Moore",BUF,"7","20","31","26.6","2.5","-6"
"28",4,"Rome Odunze",CHI,"10","22","34","28.1","2.5","-1"
"29",4,"Mike Evans",SF,"8","22","39","28.9","4.0","+1"
"30",4,"Parker Washington",JAC,"7","24","44","29.1","4.0","-2"
"31",5,"Marvin Harrison Jr.",ARI,"14","28","40","31.8","2.7","0"
"32",5,"Carnell Tate",TEN,"9","23","41","32.9","3.9","0"
"33",5,"DK Metcalf",PIT,"9","28","39","33.9","2.6","+2"
"34",5,"Chris Godwin Jr.",TB,"10","26","43","35.0","3.7","+2"
"35",5,"Brian Thomas Jr.",JAC,"7","33","44","36.8","3.2","-1"
"36",5,"Courtland Sutton",DEN,"10","29","50","36.9","5.5","+1"
"37",5,"Quentin Johnston",LAC,"7","32","43","37.8","3.0","+2"
"38",5,"Michael Pittman Jr.",PIT,"9","32","49","39.1","4.2","+8"
"39",5,"Alec Pierce",IND,"13","31","47","39.8","4.7","-1"
"40",5,"Stefon Diggs",WAS,"7","30","48","39.9","4.7","0"
"41",5,"Josh Downs",IND,"13","33","56","42.2","5.3","+4"
"42",5,"Michael Wilson",ARI,"14","33","55","42.2","5.1","-9"
"43",5,"Jayden Reed",GB,"11","35","57","43.3","5.5","-1"
"44",5,"Wan'Dale Robinson",TEN,"9","38","49","43.8","3.3","+5"
"45",5,"Jordan Addison",MIN,"6","36","53","44.8","4.6","-4"
"46",6,"Makai Lemon",PHI,"10","39","57","46.5","4.8","-3"
"47",6,"Jakobi Meyers",JAC,"7","35","55","46.9","5.2","+4"
"48",6,"De'Zhaun Stribling",SF,"8","36","63","47.8","5.8","-4"
"49",6,"KC Concepcion",CLE,"11","40","58","48.8","4.9","-1"
"50",6,"Matthew Golden",GB,"11","43","59","49.7","5.0","0"
"51",6,"Xavier Worthy",KC,"5","45","61","51.1","4.5","+2"
"52",6,"Romeo Doubs",NE,"11","45","58","51.4","3.4","+3"
"53",6,"Khalil Shakir",BUF,"7","44","59","52.9","3.4","+6"
"54",6,"Deebo Samuel Sr.",SF,"8","38","67","53.1","7.2","-2"
"55",6,"Jalen Coker",CAR,"5","45","61","53.1","3.7","+3"
"56",6,"Rashid Shaheed",SEA,"11","51","64","56.6","3.2","-2"
"57",6,"Denzel Boston",CLE,"11","50","73","59.4","5.5","+6"
"58",6,"Jordyn Tyson",NO,"8","45","88","59.9","10.2","-11"
"59",6,"Tre Tucker",LV,"13","53","91","61.2","7.6","+3"
"60",7,"Kayshon Boutte",HOU,"8","50","77","64.2","6.7","-4"
"61",7,"Adonai Mitchell",NYJ,"13","56","86","65.3","7.0","+18"
"62",7,"Jerry Jeudy",CLE,"11","58","81","66.1","6.3","+13"
"63",7,"Jalen McMillan",TB,"10","58","87","66.7","8.1","+11"
"64",7,"Dontayvion Wicks",PHI,"10","54","78","66.9","5.7","+3"
"65",7,"Jauan Jennings",MIN,"6","47","92","68.4","9.2","+12"
"66",7,"Ryan Flournoy",DAL,"14","62","97","70.0","8.1","+17"
"67",7,"Tre' Harris",LAC,"7","59","93","70.3","8.2","+11"
"68",7,"Keenan Allen",IND,"13","52","104","70.5","14.1","-8"
"69",7,"Omar Cooper Jr.",NYJ,"13","62","98","70.7","7.2","+3"
"70",7,"Pat Bryant",DEN,"10","56","90","70.8","8.0","+10"
"71",7,"Jalen Nailor",LV,"13","60","88","71.6","6.4","-10"
"72",7,"Malik Washington",MIA,"6","46","102","71.9","11.3","-4"
"73",7,"Calvin Ridley",TEN,"9","58","96","73.6","9.1","+9"
"74",7,"Jaylin Noel",HOU,"8","64","97","75.5","7.1","+20"
"75",7,"Rashod Bateman",BAL,"13","69","94","81.0","7.8","+21"
"76",7,"Ja'Kobi Lane",BAL,"13","49","110","75.6","13.6","-19"
"77",7,"Cooper Kupp",SEA,"11","64","98","81.9","7.3","-13"
"78",7,"Travis Hunter",JAC,"7","61","107","76.4","10.9","-5"
"79",7,"Darnell Mooney",NYG,"8","71","102","84.3","7.2","+25"
"80",7,"Chris Bell",MIA,"6","63","101","84.6","10.1","-11"
"81",7,"Germie Bernard",PIT,"9","69","109","85.0","8.1","+10"
"82",7,"Zachariah Branch",ATL,"11","70","103","86.2","9.0","+2"
"83",7,"Malachi Fields",NYG,"8","65","102","82.1","9.4","-13"
"84",7,"Troy Franklin",DEN,"10","67","121","88.0","12.6","+24"
"85",8,"Isaac TeSlaa",DET,"6","75","118","83.4","7.8","-19"
"86",8,"Antonio Williams",WAS,"7","69","120","89.7","10.8","0"
"87",8,"Jack Bech",LV,"13","73","108","90.1","8.5","+8"
"88",8,"Devaughn Vele",NO,"8","62","110","85.4","11.1","0"
"89",8,"Tank Dell",HOU,"8","67","113","87.4","13.4","-8"
"90",8,"Caleb Douglas",MIA,"6","61","114","82.1","13.8","-14"
"91",8,"Keon Coleman",BUF,"7","80","116","94.0","8.9","-4"
"92",8,"Ted Hurst III",TB,"10","67","137","91.3","15.7","-7"
"93",8,"Tyquan Thornton",KC,"5","79","108","94.3","8.1","-"
"94",8,"Elic Ayomanor",TEN,"9","82","142","98.6","12.9","-"
"95",8,"Tory Horton",SEA,"11","86","128","98.7","8.6","+10"
"96",8,"Darius Slayton",NYG,"8","85","116","98.2","8.6","-"
"97",8,"Chimere Dike",TEN,"9","83","137","101.5","14.4","-"
"98",8,"Cyrus Allen",KC,"5","55","141","83.3","18.9","-27"
"99",8,"Marvin Mims Jr.",DEN,"10","84","124","104.0","10.5","-"
"100",8,"Xavier Legette",CAR,"5","80","116","96.3","8.7","-"
"101",8,"Skyler Bell",BUF,"7","93","153","108.4","13.0","-11"
"102",8,"Kyle Williams",NE,"11","77","150","104.5","15.5","-"
"103",8,"Elijah Sarratt",BAL,"13","89","194","104.5","23.9","-"
"104",8,"Hollywood Brown",PHI,"10","96","131","106.5","7.8","-"
"105",8,"DeMario Douglas",NE,"11","69","125","96.4","16.5","-"
"106",8,"Christian Kirk",SF,"8","88","247","110.4","31.0","-"
"107",8,"Mack Hollins",NE,"11","93","141","110.5","11.8","-"
"108",8,"Isaiah Bond",CLE,"11","94","136","113.3","11.2","-"
"109",9,"Andrei Iosivas",CIN,"6","83","121","102.0","10.7","-"
"110",9,"Jahan Dotson",ATL,"11","78","120","100.8","10.2","-"
